number,name,activity,address,addressy,coordinates,metro,area,phone,site,status,time,reach,inventory,services,premises,cameras,others
9.0011,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»",Бадминтон,"Кронштадт, ул.Советская, д.15","Ул.К.Либкнехта, участок 2 (севернее дома 15 по Советской ул.)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.0012,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Уличные тренажеры","Кронштадт, ул.Советская, д.37","Ул.Советская, участок 7 (севернее дома 37, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.0013,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Баскетбол, волейбол, хоккей","Кронштадт, ул.Станюковича, д.6","Ул.Станюковича, участок 6, (юго-западнее дома 6, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,"Понедельник, пятница 19:00-21:00 воскресенье 12:00-14:00",Доступна,,1,,,
9.0014,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»",Волейбол,"Кронштадт, Цитадельское шоссе, д.43","Цитадельское шоссе, участок15, (севернее дома 43, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,"Понедельник, пятница 17:00-19:00 воскресенье 16:00-18.00",Доступна,,1,,,
9.0015,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»",ГТО,"Кронштадт, ул.Аммермана, д.4","Ул.Аммермана, участок 5, (восточнее дома, 44, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.0016,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","Мини-футбол, стритбол","Кронштадт, ул.Гидростроителей, д.10","Ул.Гидростроителей, участок 11",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,"Понедельник, пятница 17:00-19:00 Воскресенье 16:00-18:00",Доступна,,1,,,
9.0017,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»",Мини-футбол,"Кронштадт, ул.Зосимова, д.9","Ул.Зосимова, участок 10",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.0018,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","ГТО, уличные тренажеры, стритбол, воркаут","Кронштадт, ул.Пролетарская, д.30","Ул.Пролетарская, участок 1 (севернее д.30, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
9.0019,"СПб ГБУ «Кронштадтский оздоровительно-спортивный центр»","ГТО, настольный теннис","Кронштадт, ул.Восстания, д.22","Ул.Восстания, участок 12 (юго-западнее д.22, литера А)",Array,"М.Беговая, Кронштадт",Кронштадтский,"311 94 46",Www.kosc.spb.ru,Работающий,,Доступна,,,,,
3.0001,"СПб ГБУ «Центр спорта Выборгского района»","Футбол ОФП","ул. Симонова","Участок 1, юго-восточнее д. 12/9 по ул. Симонова",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Симонова",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0002,"СПб ГБУ «Центр спорта Выборгского района»","Футбол ОФП","ул. Композиторов","Участок 1, юго-западнее, д. 1, корп. 2, литера А",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Композиторов",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0003,"СПб ГБУ «Центр спорта Выборгского района»","Воркаут ОФП","ул. Ивана Фомина","Участок 8, восточнее дома 5, корпус 2",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Ивана Фомина",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0004,"СПб ГБУ «Центр спорта Выборгского района»","Футбол баскетбол","ул. Есенина","Участок 1, восточнее дома 3, литера А по улице Есенина",Array,"Станция метро Озерки, остановка транспорта Северный проспект",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0005,"СПб ГБУ «Центр спорта Выборгского района»",Футбол,"ул. Сикейроса","Участок 2, северо-восточнее дома 12, литера б по улице Сикейроса",Array,"Станция метро Озерки, остановка транспорта ул. Сикейроса",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0006,"СПб ГБУ «Центр спорта Выборгского района»","Футбол баскетбол","проспект Луначарского","Участок 1, западнее дома 39, корпус 2, литера А",Array,"Станция метро Озерки, остановка транспорта Областная больница",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0007,"СПб ГБУ «Центр спорта Выборгского района»",ОФП,"ул. Сикейроса","Участок 1, южнее дома 7, корпус 1, литера А",Array,"Станция метро Озерки, остановка транспорта ул. Сикейроса",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0008,"СПб ГБУ «Центр спорта Выборгского района»","Воркаут стритбол ОФП","ул. Есенина","Участок 4, восточнее дома 11, корпус 1, литера Я",Array,"Станция метро Озерки, остановка транспорта ул. Есенина",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0009,"СПб ГБУ «Центр спорта Выборгского района»","Футбол баскетбол ОФП","Лесной проспект","Участок 1, западнее дома 59, корпус 5-6, литера Е",Array,"Станция метро Лесная, остановка транспорта ул. Александра Матросова",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0010,"СПб ГБУ «Центр спорта Выборгского района»","Настольный теннис стритбол ОФП","ул. Курчатова","Участок 1, восточнее дома 6, корпус2, литера В",Array,"Станция метро Политехническая, остановка транспорта ул. Жака Дюкло",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0011,"СПб ГБУ «Центр спорта Выборгского района»",Футбол,"пр. Луначарского","Участок 3, юго-западнее дома 33, корпус 1, литер А по пр. Луначарского",Array,"Станция метро Озерки, остановка транспорта пр. Луначарского",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0012,"СПб ГБУ «Центр спорта Выборгского района»","Стритбол ОФП","ул. Сантьяго-де-Куба","Участок 2, севернее дома 6 корпус 2",Array,"Станция метро Озерки, остановка транспорта ул. Сантьяго-де-Куба",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0013,"СПб ГБУ «Центр спорта Выборгского района»","Волейбол ОФП","пр. Художников","Участок 1, западнее дома 27, корпус 1, литер А",Array,"Станция метро Проспект Просвещения, остановка транспорта Поэтический бульвар",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0014,"СПб ГБУ «Центр спорта Выборгского района»","Футбол, баскетбол, волейбол","пр. Энгельса","Участок 1, южнее дома 129, корпус 3, литера Б",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Асафьева",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0015,"СПб ГБУ «Центр спорта Выборгского района»",Футбол,"пр. Энгельса","Участок 2, восточнее дома 139/21, литера А",Array,"Станция метро Проспект Просвещения, остановка транспорта ст. Метро Проспект Просвещения",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0016,"СПб ГБУ «Центр спорта Выборгского района»","Футбол,стритбол","улица Композиторов","Участок 3, восточнее дома 11, кор. 2, литера А",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Хошимина",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0017,"СПб ГБУ «Центр спорта Выборгского района»","Волейбол ОФП","пос. Парголово, Михайловка, ул. Ленина","Участок 1, северо-восточнее дома 40",Array,"Станция метро Проспект Просвещения, остановка транспорта Хабаровская улица",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0018,"СПб ГБУ «Центр спорта Выборгского района»","Футбол, стритбол","пос. Парголово, ул. Первого Мая","Участок 5, северо-восточнее дома 99",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. 1-го Мая, 89",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0019,"СПб ГБУ «Центр спорта Выборгского района»",Футбол,"пос. Парголово, Михайловка, Хабаровская ул.","Участок 2, Юго-западнее дома 62",Array,"Станция метро Проспект Просвещения, остановка транспорта Хабаровская улица",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0020,"СПб ГБУ «Центр спорта Выборгского района»","Футбол ОФП","Тихорецкий проспект","Участок 66",Array,"Станция метро Политехническая, остановка транспорта пр. Науки",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0021,"СПб ГБУ «Центр спорта Выборгского района»",Баскетбол,"Придорожная аллея","Участок 1, юго-западнее дома 13, лит. А",Array,"Станция метро Проспект Просвещения, остановка транспорта пр. Художников",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0022,"СПб ГБУ «Центр спорта Выборгского района»",Футбол,"ул. Руднева","Участок 1, Юго-западнее дома 21, корпус 2, литера А",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Руднева",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0023,"СПб ГБУ «Центр спорта Выборгского района»",Баскетбол,"Нежинская ул.","Участок 2, юго-западнее дома 4, литера А",Array,"Станция метро Удельная, остановка транспорта Манчестерская ул",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0024,"СПб ГБУ «Центр спорта Выборгского района»",Баскетбол,"ул. Жака Дюкло","Участок 1, юго-восточнее дома 8, корпус 1, литера А",Array,"Станция метро Политехническая, остановка транспорта ул. Жака Дюкло, 8",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0025,"СПб ГБУ «Центр спорта Выборгского района»",ОФП,"пр. Просвещения","Участок 3, севернее дома 32, корпус 1, литера А по пр. Просвещения",Array,"Станция метро Проспект Просвещения, остановка транспорта ст. Метро Проспект Просвещения",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0026,"СПб ГБУ «Центр спорта Выборгского района»","Баскетбол волейбол","пр. Просвещения","Участок 2, севернее дома 32, корп.1, литера А по пр. Просвещения",Array,"Станция метро Проспект Просвещения, остановка транспорта ст. Метро Проспект Просвещения",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0027,"СПб ГБУ «Центр спорта Выборгского района»",Футбол,"пр. Художников","Участок 1, восточнее дома 43/14, литера А",Array,"Станция метро Проспект Просвещения, остановка транспорта Сиреневый бульвар",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0028,"СПб ГБУ «Центр спорта Выборгского района»","Баскетбол ОФП","пр. Культуры","Участок 2, восточнее дома 22, корпус 2",Array,"Станция метро Проспект Просвещения, остановка транспорта пр. Культуры, 26",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0029,"СПб ГБУ «Центр спорта Выборгского района»","Баскетбол ОФП","пр. Культуры","Участок 1, западнее дома 26, корпус 1, литера А",Array,"Станция метро Проспект Просвещения, остановка транспорта пр. Культуры, 26",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0030,"СПб ГБУ «Центр спорта Выборгского района»",Футбол,"пр. Просвещения","Участок 1, южнее дома 41, литера А",Array,"Станция метро Проспект Просвещения, остановка транспорта пр. Художников",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0031,"СПб ГБУ «Центр спорта Выборгского района»","Футбол ОФП, настольный теннис","Учебный переулок","Участок 1, восточнее дома 8, корпус 2, литера А",Array,"Станция метро Озерки, остановка транспорта Городская больница № 2",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0032,"СПб ГБУ «Центр спорта Выборгского района»",ОФП,"пр. Просвещения","Участок 1, севернее дома 54, лит. А",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Кустодиева",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0033,"СПб ГБУ «Центр спорта Выборгского района»","Футбол ОФП","пр. Просвещения","Участок 1, севернее дома 22, корпус 1 по пр. Просвещения",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Симонова",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0034,"СПб ГБУ «Центр спорта Выборгского района»","Баскетбол ОФП, футбол","пр. Культуры","Участок 1, западнее дома 12, корпус 1, лит. А",Array,"Станция метро Проспект Просвещения, остановка транспорта пр. Культуры",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,1,,,
3.0035,"СПб ГБУ «Центр спорта Выборгского района»",Баскетбол,"ул. Симонова","Участок 2, юго-восточнее дома 12/9 по ул. Симонова",Array,"Станция метро Проспект Просвещения, остановка транспорта ул. Симонова",Выборгский,"8(812) 591-66-36",Http://gu319.site.gov.spb.ru/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0036,"ГБУ спортивная школа «Выборжанин»","Уличные тренажеры","Северный пр.","Участок 3, восточнее дома 10, корпус 1, литера А по Северному пр",Array,"Станция метро Озерки, остановка транспорта Северный пр. Д. 5",Выборгский,"8(812) 409-71-47",Www.viborjanin.ru,Работающий,Нет,Да,,,,,
3.0037,"СПб ГБУ «Дом молодежи «ФОРПОСТ» Выборгского района","Футбол, баскетбол",пр.Тореза,"Участок 2, северо-восточнее дома 39, корпус 1, литера А",Array,"Станция метро пл. Мужества, остановка транспорта Светлановский пр",Выборгский,8(812)542-24-07,Http://дм-форпост.рф/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0038,"СПб ГБУ «Дом молодежи «ФОРПОСТ» Выборгского района","Футбол, тренажеры",пр.Тореза,"Участок 1, Юго-восточнее дома 35, корпус 1, литера Б",Array,"Станция метро пл. Мужества, остановка транспорта Институтский пр",Выборгский,8(812)542-24-07,Http://дм-форпост.рф/,Работающий,"08:00 - 22:00","Частично доступно всем",,,,,
3.0039,"СПб ГБУ «Дом молодежи «ФОРПОСТ» Выборгского района",Футбол,пр.Пархоменко,"Участок 1, Северо-восточнее дома 26, литера Б",Array,"Станция метро пл. Мужества, остановка транспорта Институтский пр",Выборгский,8(812)542-24-07,Http://дм-форпост.рф/,"Временно приостановлено посещение","08:00 - 22:00","Частично доступно всем",,,,,
17.01,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"Альпийский пер., д. 10","Альпийский пер., участок 10 (у дома 10)",Array,"Метро проспект Славы",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"ОФП ""Подвижные игры"" Ср, Чт, Пт 17:00-18:30",Доступна,,1,,,
17.02,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"ул. Белградская, д. 10","Белградская ул., участок 16 (у дома 10, корпус 1)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"ОФП ""Подвижные игры"" Вт.,Чт. 17:00-18:00",Доступна,,,,,
17.03,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",ОФП,"ул. Белы Куна, д. 2, корп. 1","Ул. Белы Куна, участок 27 (у дома 2, корпус 1)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"Пт (воркаут) 20.00-21:30",Доступна,,1,,,
17.04,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"Будапештская ул., д. 8, корп. 1","Будапештская ул., участок 59 (у дома 8, корпус 1)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.05,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",ОФП,"Бухарестская ул., д. 72, корп. 1","Бухарестская ул., участок 74 (у дома 72, корпус 1)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.06,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Бухарестская ул., д. 67, корп. 1","Бухарестская ул., участок 75 (у дома 67, корпус 1)",Array,"Метро пр-т Славы",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"Футбол во дворе Пн, Ср 16:00-17:00",Доступна,,,,,
17.07,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"Бухарестская ул., д. 120, корп. 1","Бухарестская ул., участок 77 (у дома 120, корпус 1)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"Волейбол во дворе Пн, Ср 16:00-17:30",Доступна,,,,,
17.08,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",ОФП,"Дунайский пр., д. 53, корп. 2","Дунайский пр., участок 20 (у дома 53, корпус 2)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.09,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Загребский бульвар, д. 23, корп. 2","Загребский бульвар, участок 9 (у дома 23, корпус 2)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,"Временно приостановлено посещение","ОФП ""Подвижные игры"" Вт.,Чт. 17:00-18:00",Доступна,,,,,
17.010,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"Загребский бульвар, д. 21","Загребский бульвар, участок 11 (у дома 21)",Array,"Дунайский проспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.011,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Загребский бульвар, д. 5, корп. 1","Загребский бульвар, участок 12 (у дома 5, корпус 1)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.012,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Купчинская ул., д. 8, корп. 1","Купчинская ул., участок 20 (у дома 8, корпус 1)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.013,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Купчинская ул., д. 21, корп. 2","Купчинская ул., участок 31 (у дома 21, корпус 2)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.014,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",ОФП,"Купчинская ул., д. 10, корп. 2","Купчинская ул., участок 33 (у дома 10, корпус 2)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.015,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Малая балканская ул., д. 40, корп. 2","Малая Балканская ул., участок 41 (у дома 40, корпус 2)",Array,"Дунайский прспект",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.016,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"Пражская ул., д. 7, корп. 1","Пражская ул., участок 17 (у дома 7, корпус 1)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"ОФП ""Подвижные игры"" Вт.,Чт. 16:30-17:30",Доступна,,,,,
17.017,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Пражская ул., д. 20","Пражская ул., участок 18 (у дома 20)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"ОФП ""Подвижные игры"" Пн,Ср,Пт 17:00-18:30",Доступна,,1,,,
17.018,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"пр. Славы, д. 7, корп. 2","Пр. Славы, участок 37 (у дома 7, корпус 2)",Array,"Метро пр-т Славы",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,"Временно приостановлено посещение","8:00 - 21:00",Доступна,,,,,
17.019,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""",Футбол,"Софийская ул., д. 32, корп. 1","Софийская ул., участок 90 (у дома 32, корпус 1)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,"Временно приостановлено посещение","8:00 - 21:00",Доступна,,,,,
17.020,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Городошный спорт военизированная полоса препятствий","Софийская ул., д. 42, корп. 3","Софийская ул., участок 102 (у дома 42, корпус 3, литера А)",Array,Международная,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"Вт, Пт (скандинасвкая ходьба) 11:00-12:00; Городошный спорт ПТ 15:00-18:00, Сб 15:00-17:30",Доступна,,1,,,
17.021,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","Стрельбищенская ул., д. 24","Стрельбищенская ул., участок 3 (у дома 24)",Array,Бухарестская,Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"8:00 - 21:00",Доступна,,,,,
17.022,"СПб ГБУ ""Центр ФКСиЗ Фрунзенского района""","Футбол ОФП","ул. Бухарестская, д. 94, корп. 1","Ул. Бухарестская, участок 101 (у дома 94, корп. 1, литера А)",Array,"Метро пр-т Славы",Фрунзенский,246-26-29,Http://fizkult-frunz.ru/,Работающий,"ОФП ""Подвижные игры"" Пн.,Ср. 17:00-18:00",Доступна,,,,,
